Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-08-16,4456.25,4476.5,4432.5,4474.0,1239520,17.049999237060547,17.709999084472656,16.020000457763672,16.1200008392334,1,8,16
2021-08-17,4472.0,4472.25,4411.75,4443.5,1789568,17.309999465942383,19.559999465942383,16.709999084472656,17.90999984741211,2,8,17
2021-08-18,4436.75,4449.75,4381.5,4394.5,1546011,17.559999465942383,21.639999389648438,17.309999465942383,21.56999969482422,3,8,18
2021-08-19,4389.75,4414.75,4347.75,4401.5,1924058,23.1200008392334,24.739999771118164,20.3700008392334,21.670000076293945,4,8,19
2021-08-20,4403.75,4440.5,4371.75,4437.0,1328852,22.739999771118164,23.899999618530273,18.18000030517578,18.559999465942383,5,8,20
2021-08-23,4435.0,4485.75,4433.5,4475.5,997026,18.829999923706055,18.950000762939453,16.950000762939453,17.149999618530273,1,8,23
2021-08-24,4481.0,4492.0,4476.75,4482.5,787503,16.959999084472656,17.510000228881836,16.940000534057617,17.219999313354492,2,8,24
2021-08-25,4483.5,4498.0,4476.25,4493.0,801106,17.420000076293945,17.5,16.459999084472656,16.790000915527344,3,8,25
2021-08-26,4493.75,4494.25,4465.0,4466.5,1306718,17.459999084472656,19.270000457763672,17.15999984741211,18.84000015258789,4,8,26
2021-08-27,4470.0,4510.0,4462.25,4505.5,1216414,17.950000762939453,18.219999313354492,16.110000610351562,16.389999389648438,5,8,27
2021-08-30,4508.75,4534.5,4500.75,4525.25,975807,16.770000457763672,16.799999237060547,15.979999542236328,16.190000534057617,1,8,30
2021-08-31,4529.5,4542.25,4512.5,4520.5,1378199,15.979999542236328,17.06999969482422,15.90999984741211,16.479999542236328,2,8,31
2021-09-01,4527.75,4540.0,4519.25,4521.25,1061414,16.059999465942383,16.709999084472656,15.680000305175781,16.110000610351562,3,9,1
2021-09-02,4522.5,4544.0,4516.0,4535.25,1016806,16.270000457763672,16.979999542236328,15.729999542236328,16.40999984741211,4,9,2
2021-09-03,4536.75,4549.5,4519.25,4534.5,1156146,16.270000457763672,17.059999465942383,16.079999923706055,16.40999984741211,5,9,3
2021-09-07,4533.0,4548.0,4510.75,4519.25,1277938,16.940000534057617,18.389999389648438,16.889999389648438,18.139999389648438,2,9,7
2021-09-08,4517.5,4524.75,4492.0,4512.5,1606757,18.969999313354492,19.639999389648438,17.780000686645508,17.959999084472656,3,9,8
2021-09-09,4511.0,4529.5,4485.5,4492.25,1696301,19.440000534057617,19.540000915527344,17.170000076293945,18.799999237060547,4,9,9
2021-09-10,4491.25,4518.25,4456.5,4458.25,1721413,17.940000534057617,21.1299991607666,16.989999771118164,20.950000762939453,5,9,10
2021-09-13,4461.0,4492.75,4444.75,4469.0,1534719,19.639999389648438,21.18000030517578,18.760000228881836,19.3700008392334,1,9,13
2021-09-14,4475.5,4489.5,4435.0,4444.5,893788,19.579999923706055,20.469999313354492,18.389999389648438,19.459999084472656,2,9,14
2021-09-15,4446.75,4487.5,4437.5,4481.75,518985,19.299999237060547,20.270000457763672,18.010000228881836,18.18000030517578,3,9,15
2021-09-16,4486.0,4487.5,4443.0,4474.25,268026,18.40999984741211,19.760000228881836,17.649999618530273,18.690000534057617,4,9,16
2021-09-17,4471.0,4482.5,4459.0,4464.330078125,1968041,18.3700008392334,21.510000228881836,18.350000381469727,20.809999465942383,5,9,17
2021-09-20,4411.75,4418.0,4293.75,4348.25,2711340,24.25,28.790000915527344,23.899999618530273,25.709999084472656,1,9,20
2021-09-21,4342.5,4395.75,4329.25,4343.25,1941006,23.40999984741211,25.600000381469727,21.709999084472656,24.360000610351562,2,9,21
2021-09-22,4336.5,4406.5,4321.25,4384.0,1767853,22.719999313354492,23.399999618530273,20.75,20.8700008392334,3,9,22
2021-09-23,4386.0,4455.0,4385.75,4438.0,1447395,19.90999984741211,20.209999084472656,18.420000076293945,18.6299991607666,4,9,23
2021-09-24,4439.0,4453.0,4410.75,4445.75,1182037,19.329999923706055,20.40999984741211,17.6299991607666,17.75,5,9,24
2021-09-27,4446.0,4472.0,4425.0,4433.0,1306188,17.780000686645508,19.31999969482422,17.739999771118164,18.760000228881836,1,9,27
2021-09-28,4429.75,4442.0,4334.75,4343.5,2307037,19.739999771118164,24.81999969482422,19.709999084472656,23.25,2,9,28
2021-09-29,4347.5,4378.75,4344.25,4349.75,1815726,22.06999969482422,23.790000915527344,21.450000762939453,22.559999465942383,3,9,29
2021-09-30,4360.0,4389.0,4294.25,4297.75,2373423,21.479999542236328,24.709999084472656,20.600000381469727,23.139999389648438,4,9,30
2021-10-01,4301.0,4365.75,4260.0,4343.75,2269695,24.780000686645508,24.889999389648438,20.850000381469727,21.100000381469727,5,10,1
2021-10-04,4349.0,4362.0,4267.5,4291.25,2135338,22.899999618530273,24.579999923706055,21.8799991607666,22.959999084472656,1,10,4
2021-10-05,4295.75,4359.75,4269.0,4334.0,1650217,22.920000076293945,23.170000076293945,20.6200008392334,21.299999237060547,2,10,5
2021-10-06,4334.0,4357.5,4273.75,4354.0,2202805,22.950000762939453,24.399999618530273,20.989999771118164,21.0,3,10,6
2021-10-07,4355.25,4421.5,4355.0,4390.0,1406808,20.540000915527344,20.760000228881836,19.06999969482422,19.540000915527344,4,10,7
2021-10-08,4390.5,4407.75,4376.25,4382.25,1428160,19.459999084472656,19.940000534057617,18.200000762939453,18.770000457763672,5,10,8
2021-10-11,4381.0,4407.5,4344.0,4351.0,1245705,19.93000030517578,20.450000762939453,18.110000610351562,20.0,1,10,11
2021-10-12,4347.75,4365.0,4317.25,4340.75,1295686,20.6200008392334,20.809999465942383,18.969999313354492,19.850000381469727,2,10,12
2021-10-13,4327.5,4364.75,4318.75,4355.0,1372482,20.139999389648438,20.229999542236328,18.440000534057617,18.639999389648438,3,10,13
2021-10-14,4354.75,4437.25,4354.0,4429.0,1264458,18.010000228881836,18.079999923706055,16.799999237060547,16.860000610351562,4,10,14
2021-10-15,4433.0,4467.5,4426.25,4462.5,1185108,16.639999389648438,16.850000381469727,15.720000267028809,16.299999237060547,5,10,15
2021-10-18,4465.5,4479.75,4436.25,4477.5,1095216,17.290000915527344,17.93000030517578,16.270000457763672,16.309999465942383,1,10,18
2021-10-19,4475.75,4517.5,4471.75,4511.25,1018177,16.09000015258789,16.309999465942383,15.569999694824219,15.699999809265137,2,10,19
2021-10-20,4516.0,4532.25,4504.0,4528.0,1006857,15.819999694824219,15.890000343322754,15.289999961853027,15.489999771118164,3,10,20
2021-10-21,4525.0,4543.25,4510.25,4541.75,938565,16.059999465942383,16.110000610351562,14.920000076293945,15.010000228881836,4,10,21
2021-10-22,4530.0,4551.5,4515.25,4536.5,1315668,15.350000381469727,16.389999389648438,14.84000015258789,15.430000305175781,5,10,22
2021-10-25,4528.75,4566.25,4522.5,4558.0,1031431,16.139999389648438,16.329999923706055,15.100000381469727,15.239999771118164,1,10,25
